nom;url;arrival_url
L’histoire;https://www.lhistoire.fr/;https://www.lhistoire.fr/
Historia;https://www.historia.fr/;https://www.historia.fr/
Challenges;https://www.challenges.fr/;https://www.challenges.fr/
Sciences & Avenir;https://www.sciencesetavenir.fr/;https://www.sciencesetavenir.fr/
L’Opinion;https://www.lopinion.fr/;https://www.lopinion.fr/
L’Obs;https://www.nouvelobs.com/;https://www.nouvelobs.com/
Prier;https://www.magazine-prier.fr/;https://www.magazine-prier.fr/
M, le magazine du Monde;https://www.lemonde.fr/;https://www.lemonde.fr/m-le-mag/
Le Monde;https://www.lemonde.fr/;https://www.lemonde.fr/
Télérama;https://www.telerama.fr/;https://www.telerama.fr/
Courrier international;https://www.courrierinternational.com/;https://www.courrierinternational.com/
Le Monde des religions;https://www.lemonde.fr/;https://www.lemonde.fr/le-monde-des-religions/
La Vie;https://www.lavie.fr/;https://www.lavie.fr/
Le Monde diplomatique;https://www.monde-diplomatique.fr/;https://www.monde-diplomatique.fr/
Manière de voir;https://www.monde-diplomatique.fr/;https://www.monde-diplomatique.fr/mav/
HuffPost;https://www.huffingtonpost.fr/;https://www.huffingtonpost.fr/
Radio Nova;https://www.nova.fr/;https://www.nova.fr/
Les Inrockuptibles;https://www.lesinrocks.com/;https://www.lesinrocks.com/
Vice.com;https://www.vice.com/;https://www.vice.com/fr
Le Figaro;https://www.lefigaro.fr/;https://www.lefigaro.fr/
Figaro Magazine;https://www.lefigaro.fr/;https://www.lefigaro.fr/lefigaromagazine
Le Particulier;https://leparticulier.lefigaro.fr/;https://leparticulier.lefigaro.fr/
La Lettre de l’Expansion;https://www.lalettredelexpansion.com/;https://www.lalettredelexpansion.com/
Le Parisien;https://www.leparisien.fr/;https://www.leparisien.fr/
Le Parisien Week-End;https://www.leparisien.fr/;https://www.leparisien.fr/week-end/
Le Parisien économie;https://www.leparisien.fr/;https://www.leparisien.fr/economie/
Aujourd’hui en France;;
Les Échos;https://www.lesechos.fr/;https://www.lesechos.fr/
Investir;https://investir.lesechos.fr/;https://investir.lesechos.fr/index.php
Investir Magazine;;
Les Échos Week-End;https://www.lesechos.fr/;https://www.lesechos.fr/weekend
Radio Classique;https://www.radioclassique.fr/;https://www.radioclassique.fr/
L’Express;https://www.lexpress.fr/;https://www.lexpress.fr/
Libération;https://www.liberation.fr/;https://www.liberation.fr/
BFM TV;https://www.bfmtv.com/;https://www.bfmtv.com/
RMC Découverte;https://www.rmcbfmplay.com/;https://www.rmcbfmplay.com/
RMC;https://rmc.bfmtv.com/;https://rmc.bfmtv.com/
BFM Business;https://www.bfmtv.com/;https://www.bfmtv.com/economie/
Numéro 23;;
Le Journal du dimanche;https://www.lejdd.fr/;https://www.lejdd.fr/
Paris Match;https://www.parismatch.com/;https://www.parismatch.com/
Gulli;https://www.gulli.fr/;https://www.gulli.fr/
Europe 1;https://www.europe1.fr/;https://www.europe1.fr/
RFM;http://www.rfm.fr/;http://www.rfm.fr/
Virgin Radio;https://www.virginradio.fr/;https://www.virginradio.fr/
CNews;https://www.cnews.fr/;https://www.cnews.fr/
Canal +;https://www.canalplus.com/;https://www.canalplus.com/
C8;https://www.canalplus.com/;https://www.canalplus.com/chaines/c8
CStar;https://www.canalplus.com/;https://www.canalplus.com/chaines/cstar
Valeurs actuelles;https://www.valeursactuelles.com/;https://www.valeursactuelles.com/
Mieux vivre votre argent;https://www.mieuxvivre-votreargent.fr/;https://www.mieuxvivre-votreargent.fr/
Marianne;https://www.marianne.net/;https://www.marianne.net/
Point de vue;https://www.pointdevue.fr/;https://www.pointdevue.fr/
Le Point;https://www.lepoint.fr/;https://www.lepoint.fr/
L’Agefi hebdo;https://www.agefi.fr/;https://www.agefi.fr/
Capital;https://www.capital.fr/;https://www.capital.fr/
Management;https://management.prismamedia.com/;https://www.prismamedia.com/marques/management/
Harvard Business Review;https://hbr.org/;https://hbr.org/
M6;https://www.6play.fr/;https://www.6play.fr/m6
W9;https://www.6play.fr/;https://www.6play.fr/w9
6ter;https://www.6play.fr/;https://www.6play.fr/6ter
RTL;https://www.rtl.fr/;https://www.rtl.fr/
RTL2;https://www.rtl2.fr/;https://www.rtl2.fr/
Fun Radio;https://www.funradio.fr/;https://www.funradio.fr/
VSD;https://vsd.fr/;https://vsd.fr/
TF1;https://www.tf1.fr/;https://www.tf1.fr/
TFX;https://www.tf1.fr/;https://www.tf1.fr/tfx
LCI;https://www.tf1info.fr/;https://www.tf1info.fr/
TF1 Séries Films;https://www.tf1.fr/;https://www.tf1.fr/tf1-series-films/direct
TMC;https://www.tf1.fr/;https://www.tf1.fr/tmc
La Chaîne parlementaire;https://lcp.fr/;https://lcp.fr/
Public Sénat;https://www.publicsenat.fr/;https://www.publicsenat.fr/
Monte Carlo Doualiya;https://www.mc-doualiya.com/;https://www.mc-doualiya.com/
Radio France International;https://www.rfi.fr/;https://www.rfi.fr/fr/
France 24;https://www.france24.com/;https://www.france24.com/fr/
TV5 Monde;http://www.tv5monde.com/;http://www.tv5monde.com/
France 2;https://www.france.tv/;https://www.france.tv/france-2/
France 3;https://www.france.tv/;https://www.france.tv/france-3/
France 5;https://www.france.tv/;https://www.france.tv/france-5/
France 4;https://www.france.tv/;https://www.france.tv/france-4/
France Inter;https://www.franceinter.fr/;https://www.franceinter.fr/
France Musique;https://www.radiofrance.fr/;https://www.radiofrance.fr/francemusique
France Culture;https://www.franceculture.fr/;https://www.franceculture.fr/
FIP;https://www.fip.fr/;https://www.fip.fr/
France Bleu;https://www.francebleu.fr/;https://www.francebleu.fr/
France Info;https://www.francetvinfo.fr/;https://www.francetvinfo.fr/
Mouv’;https://www.mouv.fr/;https://www.mouv.fr/
Arte;https://www.arte.tv/;https://www.arte.tv/fr/
La Croix;https://www.la-croix.com/;https://www.la-croix.com/
Pèlerin;https://www.lepelerin.com/;https://www.lepelerin.com/
Notre temps;https://www.notretemps.com/;https://www.notretemps.com/
NRJ 12;https://www.nrj-play.fr/;https://www.nrj-play.fr/nrj12
Chérie 25;https://www.nrj-play.fr/;https://www.nrj-play.fr/cherie25
NRJ;https://www.nrj.fr/;https://www.nrj.fr/
Rire et Chansons;https://www.rireetchansons.fr/;https://www.rireetchansons.fr/webradios/mur-des-radios/rire-chansons
Chérie FM;https://www.cheriefm.fr/;https://www.cheriefm.fr/
Nostalgie;https://www.nostalgie.fr/;https://www.nostalgie.fr/
Ouest France;https://www.ouest-france.fr/;https://www.ouest-france.fr/
Le Courrier de l’Ouest;https://www.ouest-france.fr/;https://www.ouest-france.fr/le-courrier-de-l-ouest/
Le Maine libre;https://www.ouest-france.fr/;https://www.ouest-france.fr/le-maine-libre/
Presse-Océan;https://www.ouest-france.fr/;https://www.ouest-france.fr/presse-ocean/
La Presse de la Manche;;https://actu.fr/la-presse-de-la-manche/
20 Minutes;https://www.20minutes.fr/;https://www.20minutes.fr/
La Voix du Nord;https://www.lavoixdunord.fr/;https://www.lavoixdunord.fr/
Nord éclair;https://www.nordeclair.fr/;https://www.nordeclair.fr/
Nord Littoral;https://www.nordlittoral.fr/;https://www.nordlittoral.fr/
Courrier picard;https://www.courrier-picard.fr/;https://www.courrier-picard.fr/
